Titel	Manusforfatter	Instruktør	Producent	Manus 2016	Udvikling 2016	Produktion 2016	I alt - alle år	
ALDRIG MERE I MORGEN	Erik Clausen	Erik Clausen	Clausen Film ApS	0	0	6.400.000	6.600.000	
AKRASH	Maria Karlsen, Oliver Dixon	Søren Kragh-Jacobsen	SF STUDIO Production Aps	0	200.000	0	200.000	
CHAMPAGNE	Mette Heeno	Hella Joof	Happy Ending Film	0	300.000	0	300.000	
DAN-DREAM	Casper Christensen, Frank Hvam	Jesper Rofelt	Nutmeg Movies	0	0	6.500.000 samt regional 566.884	7.066.884	
FAMILIEN JUL - I NISSERNES LAND	Carsten Rudolf	Carsten Rudolf	Pixy Film ApS	0	0	218.467	7.213.911	
FAMILIEN JUL OG NISSESLOTTET	Carsten Rudolf	Carsten Rudolf	Pixy Film ApS	0	150.000	0	150.000	
FAR TIL FIRE FÅR HØJDESKRÆK	Claudia Boderke, Lars Mering, Henrik Møller-Sørensen, Marcella Lindstad Dichmann	Martin Miehe-Renard	ASA Film Production A/S	0	234.330	6.500.000 samt regional 56.160	6.790.490	
HODJA FRA PJORT	Karsten Kiilerich	Karsten Kiilerich	M&M Productions A/S	0	0	6.100.000	6.550.000	
IQBAL OG SUPERCHIPPEN	Renée Toft Simonsen	Oliver Zahle	Miso Film ApS	0	0	6.500.000	6.675.000	
JOHN	Ole Bornedal	Ole Bornedal	Miso Film ApS	0	0	7.650.000	8.000.000	
JULEN	Jakob Weis	Paprika Steen	Nordisk Film Production A/S	0	150.000	0	150.000	
KIDNAPNING	Frederik M. Nørgaard, Torvald Lervad, Søren Frellesen	Frederik M. Nørgaard	Regner Grasten Filmproduktion A/S	0	150.000	5.000.000	5.150.000	
MANDEN FRA MØRKET	Anders Ølholm	Ole Christian Madsen	Creative Alliance A.M.B.A	0	506.419	0	506.419	
SLANGENS GAVE	Philip Lazebnik, Søren Frellesen	Ask Hasselblach	Nepenthe Film ApS	0	250.000	7.900.000	8.450.000	
UNDERCOVER JUL	Casper Christensen	Nikolaj Peyk	Blenkov & Schønnemann Pictures	0	0	2.399.000	2.399.000	
VILDHEKS	Bo hr. Hansen	Kaspar Munk	Good Company Films ApS	0	250.000	7.450.000	8.000.000	
WELLNESS	Claudia Boderke, Lars Mering	Tilde Harkamp	Nordisk Film Production A/S	0	180.000	0	180
