Titel	Manusforfatter	Instruktør	Producent	Manus 2017	Udvikling 2017	Produktion 2017	I alt - alle år	
DANIEL	Anders Thomas Jensen	Niels Arden Oplev	Toolbox Film ApS	0	700.000	0	700.000	
DITLEV OG LOUISE	Ditte Hansen, Louise Mieritz	Niclas Bendixen	Nordisk Film Production A/S	0	200.000	0	200.000	
ELSIE OG VICTOR BORGE	Rasmus Heide	Rasmus Heide	Fridthjof Film A/S	0	100.000	0	100.000	
FAR TIL FIRE I SOLEN	Gitte Løkkegaard, Martin Miehe-Renard, Henrik Møller Sørensen, Marcella Lindstad Dichmann	Martin Miehe-Renard	ASA Film Production A/S	0	175.000	6.500.000	6.675.000	
GOOSEBOY 3	Michael Wikke, Steen Rasmussen	Michael Wikke, Steen Rasmussen	SF Studios Production ApS	0	200.000	0	200.000	
HAPPY ENDING	Mette Heeno	Hella Joof	Happy Ending Film & TV ApS	0	150.000	6.500.000 samt fra den regionale pulje 500.000	7.450.000	
I KRIG & KÆRLIGHED	Astrid Ströher, Kasper Torsting	Kasper Torsting	Fridthjof Film A/S	0	0	7.500.000	7.610.000	
IQBAL & DEN INDISKE JUVEL	Mikael Olsen, Renée Toft Simonsen	Oliver Zahle	Miso Film ApS	0	175.000	6.500.000	6.675.000	
JAGTSÆSON	Claudia Boderke, Lars Mering	Tilde Harkamp	Nordisk Film Production A/S	0	0	6.720.000	6.900.000	
JOURNAL 64	Nikolaj Arcel, Bo hr. Hansen, Mikkel Nørgaard	Christoffer Boe	Zentropa Entertainments20 ApS	0	0	8.850.000	8.850.000	
JULEMANDENS DATTER	Philip Lazebnik, Uffe Rørbæk	Christian Dyekjær	Deluca Film - LN1 ApS	0	150.000	6.500.000 samt fra den regionale pulje 500.000	7.150.000	
JULEN	Jakob Weis	Paprika Steen	Nordisk Film Production A/S	0	0	6.500.000 samt fra den regionale pulje 500.000	7.150.000	
KIDNAPNING	Frederik M. Nørgaard	Frederik M. Nørgaard	Regner Grasten Filmproduktion A/S	0	0	fra den regionale pulje 500.000	5.650.000	
RØDE ORM	Tobias Lindholm	Hans Petter Moland	Zentropa Entertainments3 ApS	0	300.000	0	505.000	
SÅ LÆNGE JEG LEVER	Ole Bornedal	Ole Bornedal	Miso Film ApS	0	0	200.000 samt fra den regionale pulje 500.000	8.681.454	
TERNET NINJA	Anders Matthesen	Anders Matthesen, Thorbjørn Christoffersen	A. Film Production ApS	0	255.000	6.539.963	6.779.984	
VILLADS OG DEN USYNLIGE VEN	Kristian Ibler, Martin Miehe-Renard	Martin Miehe-Renard	Fridthjof Film A/S	0	100.000	0	100.000	
