Titel	Manusforfatter	Instruktør	Producent	Konsulent	Manus 2015	Udvikling 2015	Produktion 2015	I alt - alle år	
DU FORSVINDER	Peter Schønau Fog	Peter Schønau Fog	Zentropa Entertainments3 ApS	KLE / HAP	0	0	8.250.000	8.975.000	
FANTASTEN	Christian Dyekjær	Christian Dyekjær	Fago Film IVS	STB	80.000	0	0	450.000	
FESSORS FORBANDELSE	Michael Asmussen	Michael Asmussen	Hop Creek Entertainment	STB	0	120.000	0	120.000	
FÆDRELAND	Andreas Garfield	May el-Toukhy	Film Maker ApS	STB / HAP	325.000	0	0	690.000	
GENGÆLDELSENS VEJE	Jenny Lund Madsen, Michael W. Horsten	Birger Larsen	Zentropa Entertainments3 ApS	HAP	130.000	0	0	200.000	
GUDS BARN	Martin Barnewitz, Parminder Singh	Parminder Singh	Parminder Singh, Martin Barnewitz	STB	160.000	0	0	160.000	
GUD TALER UD	Bo hr. Hansen	Henrik Ruben Genz	Toolbox Film ApS	STB	0	280.000	0	500.000	
HANDSKEMAGEREN	Jesper Fink, Michael Noer	Michael Noer	Nordisk Film Production A/S	STB	120.000	0	0	120.000	
HAPPY PEOPLE	Samanou Acheche Sahlstrøm	Samanou Acheche Sahlstrøm	Meta Film Rights ApS	HAP	75.000	325.000	0	600.000	
KONGERNE AF VESTERBRO	Lars K. Andersen, Søren Sveistrup	Lars K. Andersen, Søren Sveistrup	SAM Productions ApS	MMF	120.000	0	0	120.000	
KØTER	Jesper Bernt	Jesper Bernt	Beofilm ApS	KLE	100.000	0	0	200.000	
LOUIS LIV	Johanne Algren	 	Fago Film IVS	MMF	60.000	0	0	60.000	
LYS & MØRKE	Christoffer Boe, Tobias Lindholm	Christoffer Boe	Zentropa Entertainments3 ApS	KLE / HAP	220.000	0	0	220.000	
MANYAR	Manyar I. Parwani	Manyar I. Parwani	Zentropa Entertainments3 ApS	STB	90.000	0	0	90.000	
MEDINA	Omar Shargawi	Omar Shargawi	Nordisk Film Production A/S	KLE	0	0	120.000	7.475.000	
MESTEREN	Anders August, Charlotte Sieling	Charlotte Sieling	Nimbus Film	KLE / STB	0	290.000	8.000.000	8.842.932	
MORD I RAMALLAH	Omar Shargawi	Omar Shargawi	Zentropa Entertainments11 ApS	STB	120.000	0	0	240.000	
MULEUM	Annette K. Olesen, Erlend Loe	Annette K. Olesen	Annette K ApS	KLE / HAP	125.000	55.000	0	1.039.500	
NATSVÆRMERE	Jannik Tai Mosholt	Kaspar Munk	Profile Pictures ApS	KLE	100.000	180.000	0	405.000	
NÆSTBEDST	Linn Jeanethe-Kyed	Mikkel Seerup	Nimbus Film	STB / HAP	180.000	150.000	0	480.000	
PELLE EROBREREN 2	Peter Birro	Per Fly	Meta Film	STB	0	335.000	0	1.065.000	
PERSONA NON GRATA	Bertrand Mandico	Bertrand Mandico	Coproduction Office ApS	MMF	0	356.640	0	356.640	
ROBIN	Antonio Tublén	Antonio Tublén	Ping Pong Film	MMF	0	155.000	0	155.000	
RØDE ORM	Tobias Lindholm	Hans Petter Moland	Zentropa Entertainments11 ApS	STB	50.000	0	0	205.000	
SANKT Bernhard SYNDIKATET	Mads Rosenkrantz Grage	TBA	Meta Film	KLE	150.000	0	0	385.500	
SECRETS FROM THE RUSSIAN TEA ROOM	Lone Scherfig	Lone Scherfig	Creative Alliance A.M.B.A.	HAP	50.000	250.000	0	600.000	
SELVMORDSTURISTEN	Jonas Alexander Arnby, Rasmus Birch	Jonas Alexander Arnby, Rasmus Birch	Nimbus Film	MMF	100.000	0	0	320.000	
SOVEKAMMER ÅR 4	Kim Fupz Aakeson, Pernille Fischer Christensen	Pernille Fischer Christensen	Zentropa Entertainments16 ApS	STB	0	497.000	0	1.919.487	
STEMMEN	Samanou Acheche Sahlstrøm	Samanou Acheche Sahlstrøm	Nimbus Film	KLE	107.450	0	0	197.450	
TERRORISTERNE	Kim Fupz Aakeson	Christoffer Boe	Creative Alliance A.M.B.A	STB	40.000	0	0	40.000	
THE AVENGING SILENCE	Nicolas Winding Refn	Nicolas Winding Refn	Space Rocket Nation ApS	HAP	125.000	0	0	125.000	
THE BEGGING HAND	Rasmus Birch	Katrin Gebbe	Nimbus Film	STB	160.000	0	0	340.000	
TIGGERNE	Milad Alami	Milad Alami	Creative Alliance A.M.B.A	STB	50.0000	0	0	50.000	
UDEN TITEL	Lars K. Andersen	Ole Christian Madsen	Creative Alliance A.M.B.A	STB	40.000	0	0	40.000	
UNDTAGELSEN	Christoffer Boe, Simon Pasternak	Heidi Maria Faisst	Fridthjof Film A/S	STB	125.000	0	0	250.000	
VERDENSMESTEREN	Christoffer Örnfelt, Joachim Nielsen	Søren Balle	Film Maker ApS	STB	120.000	0	0	200.000	
VIFTEN	Anna Neye	 	Anna Neye	MMF	35.000	0	0	35.000	
WE WATCHED THE SUN DISAPPEAR	Michael Kinirons	Jonas Alexander Arnby	Profile Pictures ApS	STB	340.000	0	0	460.000
