Titel	Manusforfatter	Instruktør	Producent	Konsulent	Manus 2015	Udvikling 2015	Produktion 2015	I alt - alle år	
1000 R.I.P	Daniel Dencik, Sara Isabella Jønsson	Daniel Dencik	Haslund/Dencik Entertainment ApS	HAP	100.000	0	0	100.000	
ACROSS THE FIELDS	Daniel Joseph Borgman	Daniel Joseph Borgman	Adomeit Film ApS	STB	25.000	300.000	2.800.000	3.520.000	
AFVENTER TITEL	Linn-Jeanethe Kyed	Mikkel Seerup	Nimbus Film	HAP	0	0	7.875.000	8.395.000	
AMINAS BREVE	Anders Ølholm	Jacob Bitsch	Toolbox Film ApS	STB	0	0	6.500.000	7.238.500	
A PRIEST	Hlynur Pálmason	Hlynur Pálmason	Masterplan Pictures ApS	KLE	150.000	0	0	370.000	
ASSISI	Jonas Wagner	Karoline Lyngbye	Zentropa Entertainments3 ApS	MMF	100.000	0	0	100.000	
BAGGER - IKKE ALT DER GLIMRER ER GULD	Martin Miehe-Renard	Martin Miehe-Renard	ASA Film Production A/S	MMF	100.000	0	0	100.000	
BORGERKRIGEN	Jannik Tai Mosholt	Janus Metz	Meta Film Rights ApS	STB	140.000	0	0	220.000	
BRUN MANDS BYRDE	Tine Krull Petersen	Cav Bøgelund	Film Maker ApS	STB	100.000	0	0	100.000	
BØRNENE	Aage Rais-Nordentoft	Aage Rais-Nordentoft	Zentropa Entertainments3 ApS	STB	140.000	0	0	140.000	
COX ORANGE	Kim Fupz Aakeson, Pernille Fischer Christensen	Pernille Fischer Christensen	Zentropa Entertainments3 ApS	MMF	80.000	0	0	80.000	
DARLING (tidl. Anden akt)	Kim Fupz Aakeson	Birgitte Stærmose	Zentropa Entertainments3 ApS	STB	0	300.000	7.300.000	7.815.000	
DEVIL'S LAKE	Anders Thomas Jensen	Kristian Levring	Zentropa Entertainments3 ApS	HAP	100.000	0	0	100.000	
DOWN ORACLE	Rasmus Birch	Martin de Thurah	SF Film Production ApS	MMF	80.000	90.461	0	170.861	
DRENGEN DER HUSKEDE	Nikolaj Feifer	Nikolaj Feifer	Zentropa Entertainments3 ApS	HAP	80.000	0	0	80.000	
DRUK	Thomas Vinterberg, Tobias Lindholm	Thomas Vinterberg	Zentropa Entertainments3 ApS	HAP	100.000	0	0	100.000	
