Titel	Manusforfatter	Instruktør	Producent	Konsulent	Manus 2018	Udvikling 2018	Produktion 2018	I alt - alle år	
NINNA	Susanne Juhász	Hans Fabian Wullenweber	Ninna IVS	MMF	0	95.000	3.150.000	3.534.084	
NOTAT	Lars K. Andersen	Ole Christian Madsen	Creative Alliance A.M.B.A	MOG	0	0	8.220.000	9.000.000	
ONKEL	René Frelle Petersen	René Frelle Petersen	88miles	MMF	200.000	0	0	200.000	
OPERATION S	Sven Vinge		Sven Vinge	MMF	120.000	0	0	120.000	
PIGEN FRA PLANEN		Nicole N. Horanyl	Made in Copenhagen ApS	MMF	70.000	0	0	70.000	
POLITI	Tobias Lindholm	Tobias Lindholm	Nordisk Film Production A/S	MOG	100.000	0	0	100.000	
POSITIV	Frederikke Aspöck	Frederikke Aspöck 	Aspöck Film	MOG	60.000	0	0	140.000	
RAHOWA	Gustav Möller	Gustav Möller	Nordisk Film Production A/S	MOG	100.000	0	0	100.000	
SELVMORDSTURISTEN	Rasmus Birch	Jonas Alexander Arnby	Snowglobe ApS	MMF	0	0	7.500.000	8.370.000	
SHORTA	Anders Ølholm, Frederik Louis Hviid	Anders Ølholm, Frederik Louis Hviid	Toolbox Film ApS	MOG	120.000	0	0	910.000	
SJALÚ	Dagur Kári	Dagur Kári	Creative Alliance A.M.B.A	MOG	100.000	0	0	458.300	
THE HOLY SPIDER	Ali Abassi	Ali Abassi	Profile Pictures ApS	MMF	70.000	0	0	230.000	
TRANSDANT	Molly Malene Stensgaard	Louise N. D. Friedberg	Molly Malene Stensgaard	MMF	90.000	0	0	200.000	
TRANSFERVINDUE	Jenny Lund Madsen	Caroline Sascha Cogez	Pasha Parts & Production	MMF	70.000	0	0	70.000	
TØ	Torben Bech	Torben Bech	Wintertales IVS	MOG	120.000	0	0	220.000	
UAKO	Maren Louise Käehne	Annette K. Olesen	Profile Pictures ApS	MMF	110.000	0	0	460.000	
UNDER ISEN	Franz Ernst	Franz Ernst	Alice Film 	MOG	125.000	0	0	325.000	
UNDTAGELSEN	Christian Torpe	Jesper W. Nielsen	Fridthjof Film A/S	MMF	0	0	500.000 fra den regionale pulje	9.260.000	
VELKOMMEN MR. AKIN	Anna Neye 	Anna Neye	Toolbox Film ApS	MOG	200.000	0	0	200.000	
VETERAN	Hans Lucht	Michael Spooner	Space Rocket Nation ApS 	MMF	60.000	0	0	60.000	
VIFTEN	Anna Neye 	Frederikke Aspöck 	Meta Film Rights ApS	MMF	0	495.000	0	935.000	
VILDNIS	Anna Ingeborg Topsøe	Jeanette Nordahl	Snowglobe ApS	MMF	0	0	4.100.000 samt fra den regionale pulje 500.000	5.245.000	
VI OVERLEVER DØDEN	Bo Mikkelsen	Bo Mikkelsen	Space Rocket Nation ApS 	MOG	100.000	0	0	180.000	
VORES MAND I AMERIKA	Christina Rosendahl, Kristian Bang Voss	Christina Rosendahl	Nimbus Film 	MMF	0	480.000	0	840.000	
WINGS OF RAMALLAH	Omar Shargawi	Omar Shargawi	Snowglobe ApS	MMF	0	300.000	0	410.000	
ØEN	Trine Appel	Wiktor Ericsson	Creative Alliance A.M.B.A	MOG	100.000	0	0	100.000	
ÅND	Sissel Dalsgaard Thomsen, Karoline Lyngbye	Karoline Lyngbye	SF Studios Production ApS	MMF	100.000	0	0	100.000
