Titel	Manusforfatter	Instruktør	Producent	Konsulent	Manus 2018	Udvikling 2018	Produktion 2018	I alt - alle år	
ALT DET VI HAR SKABT	Heidi Maria Faisst	Heidi Maria Faisst	Heidi Maria Faisst	MMF	60.000	0	0	60.000	
BABE'S TAXI	Dagur Kári	Peter Haton	Creative Alliance A.M.B.A	MMF	60.000	0	0	60.000	
BENELUX	Christian Tafdrup, Mads Tafdrup	Christian Tafdrup	Profile Pictures ApS	MMF	60.000	0	0	60.000	
BENTHAM-CIRKLEN	Jonas Wagner	Isabella Eklöf	Isabella Eklöf og Jonas Wagner	MMF	100.000	0	0	100.000	
BETWEEN THE LINES	Laurits Munch-Petersen, Pernille Andersen	Laurits Munch-Petersen		MMF	100.000	0	0	100.000	
BOMBEMANDEN	Andreas Garfield	Mads Kamp Thulstrup	Profile Pictures ApS	MOG	0	300.000	0	620.000	
CRASHER	Pernille Andersen	Laurits Munch-Petersen	Milk & Honey ApS	MOG	100.000	178.000	0	478.000	
DAGMAR	Line Langebek Knudsen	Magnus von Horn	Creative Alliance A.M.B.A	MMF	70.000	0	0	70.000	
DE UØNSKEDE 	Christian E. Christiansen, Jesper Nicolaj Christiansen		Zentropa Entertainments3 ApS	MOG	100.000	0	0	100.000	
FARVEL TIL JORDEN	Rasmus Horskjær	Ask Hasselbalch	Snowglobe ApS	MMF	90.000	0	0	270.000	
FISKERNE VS. ROCKERNE 	Mads Erichsen	Mads Erichsen	Toolbox Film ApS	MMF	90.000	0	0	160.000	
GÆLDEN	Jesper Fink, Nagieb Khaja	Nagieb Khaja	Toolbox Film ApS	MOG	100.000	0	0	450.000	
HJEMMEFRONT	Jesper Christensen, Lena Maria Christensen	Jesper Christensen	Creative Alliance A.M.B.A	MOG	120.000	0	0	200.000	
IDA LÆNGE LEVE	Christoffer Örnfelt, Joachim Nielsen	Tilde Harkamp	Nepenthe Film ApS	MOG	100.000	100.000	0	280.000	
JEG ER SPION FOR EN FREMMED MAGT	Trine Piil	TBA	Profile Pictures ApS	MOG	232.500	0	0	324.131	
JUSTINE	Kasper Rune Larsen	Kasper Rune Larsen	Stray Dog Productions	MMF	60.000	0	0	60.000	
KALAK	Kim Leine	Isabella Eklöf	Manna Film	MOG	125.000	0	0	125.000	
LET'S GET ON	Jonas Elmer	Jonas Elmer	Asta Film ApS	MOG	0	300.000	0	300.000	
LILLE SOMMERFUGL	Søren Kragh-Jacobsen	Søren Kragh-Jacobsen	SKJ Film Produktion	MMF	100.000	0	0	160.000	
LIVET MED TANDSMØR	Emil Milang, Magnus Millang	Magnus Millang	Miso Film ApS	MMF	100.000	0	2.550.000	2.650.000	
MARGRETE D. 1.	Jesper Fink	Charlotte Sieling	SF Film Production ApS	MOG	200.000	115.000	0	425.000	
MATERIA PRIMA	Johan Knattrup Jensen	Johan Knattrup Jensen	Makropol ApS	MMF	90.000	0	0	90.000	
MISS OSAKA	Daniel Dencik, Sara Isabella Jønsson	Daniel Dencik	Haslund/Dencik Entertainment	MOG	0	0	7.600.000	9.030.000	
MISS VIBORG	Lærke Sanderhoff	Marianne Blicher	Snowglobe ApS	MOG	60.000	0	0	140.000	
MONSTROUS	Anders Ølholm		Zentropa Entertainments3 ApS	MMF	60.000	0	0	60.000	
MOR	Anna Ingeborg Topsøe	Daniel Kragh-Jacobsen	Meta Film Rights ApS	MOG	80.000	0	0	80.000	
NATURIST	Mads Rosenkrantz Grage	Magnus Millang	Zentropa Entertainments3 ApS	MMF	90.000	0	0	190.000	
