Titel	Manusforfatter	Instruktør	Producent	Manus 2018	Udvikling 2018	Produktion 2018	I alt - alle år	
BITTERFISSEN	Anne-Grethe Bjarup Riis	Anne-Grethe Bjarup Riis	Regner Grasten Filmproduktion A/S	0	295.000	0	295.000	
BORGE	Rasmus Heide	Rasmus Heide	Fridthjof Film A/S	0	250.000	0	350.000	
DE FORBANDEDE ÅR	Anders Refn	Anders Refn	Space Rocket Nation ApS	0	300.000	7.500.000	7.800.000	
DRUK	Thomas Vinterberg, Tobias Lindholm	Thomas Vinterberg	Zentropa Entertainments3 ApS	0	310.000	0	410.000	
EN ANDEN GREN	Flemming Klem	Charlotte Sachs Bostrup	Regner Grasten Filmproduktion A/S	0	250.000	0	250.000	
FAMILIEN JUL OG NISSEHOTELLET	Carsten Rudolf	Carsten Rudolf	Pixy Film ApS	0	200.000	0	200.000	
FAR 	Milad Avaz	Mehdi Avaz	Rocket Road Pictures IVS	0	250.000	0	250.000	
FAR TIL FIRE I GRØNLAND	Claudia Boderke, Lars Mering, Martin Miehe-Renard 	Martin Miehe-Renard	ASA Film Production A/S	0	200.000	0	200.000	
GOOSEBOY	Michael Wikke, Steen Rasmussen	Michael Wikke, Steen Rasmussen	SF Studios Production ApS	0	0	7.500.000	7.700.000	
I KRIG & KÆRLIGHED	Astrid Ströher, Kasper Torsting	Kasper torsting	Fridthjof Film A/S	0	0	500.000 fra den regionale pulje	8.110.000	
KLOVN - HAPPYLAND	Casper Christensen, Frank Hvam	Mikkel Nørgaard	Nutmeg Productions ApS	0	200.000	0	200.000	
MØDREGRUPPEN	Christina Sederqvist	Charlotte Sachs Bostrup	Zentropa Entertainments3 ApS	0	0	6.750.000 samt 500.000 fra den regionale pulje	7.250.000	
SDMD	Anders Thomas Jensen	Niels Arden Oplev	Toolbox Film ApS	0	0	8.000.000	8.700.000	
SKAMMEKRIGEN - SKAMMERENS DATTER III	Gunnar A. K. Järvstad	Ask Hasselbalch	Nepenthe Film ApS	0	250.000	0	250.000
