Titel	Manusforfatter	Instruktør	Producent	Manus 2014	Udvikling 2014	Produktion 2014	I alt - alle år	
9. April	Tobias Lindholm	Roni Ezra	Nordisk Film Production A/S	0	0	fra regional pulje 776.523	7.510.523	
ALLE FOR TRE	Mick Øgendahl, Rasmus Heide	Rasmus Heide	Fridthjof Film A/S	0	200.000	0	200.000	
ANTBOY 3	Anders Ølholm	Ask Hasselbalch	Nimbus Film	0	300.000	0	300.000	
DANMARK 92	Anders August	Kasper Barfoed	Danmark92 ApS	0	75.000	6.500.000	6.798.048	
DE FEM	Jesper Nicolaj Christensen	Mariella Harpelunde Jensen	Bullitt Film ApS	0	50.000	0	200.000	
EMMA OG NICOLAS - JAGTEN PÅ ELVERDRONNINGENS HJERTE	Philip Lazebnik, Uffe Rørbæk, Jenny Lund Madsen	Søren Frellesen	Deluca Film - LN1 ApS	0	0	6.300.000 samt 1.000.000 fra regional pulje	7.400.000	
FAR TIL FIRE VED VADEHAVET	Jens Korse	Giocomo Campeotto	ASA Film Production A/S	0	0	4.000.000 samt 1.000.000 fra regional pulje	5.000.000	
FLASKEPOST FRA P	Nikolaj Arcel	Hans Petter Moland	Zentropa Entertainments20 ApS	0	400.000	7.000.000	7.400.000	
GODHAVN	Søren Sveistrup	Jesper W. Nielsen	Zentropa Entertainments11 ApS	0	0	6.800.000	6.990.000	
HODJA FRA PJORT	Karsten Kiilerich	Karsten Kiilerich	M&M Productions A/S	0	300.000	0	300.000	
IQBAL FAROOQ	Renée Toft Simonsen	Tilde Harkamp	Miso Film ApS	0	100.000	6.200.000 samt 700.000 fra regional pulje	7.000.000	
KLOVN 2	Casper Christensen, Frank Hvam	Mikkel Nørgaard	Nutmeg Movies	0	0	4.000.000	4.000.000	
KRUMMERNE ALT PÅ SPIL	John Stefan Olsen	Barbara Rothenborg	Regner Grasten Filmrettigheder	0	0	3.250.000	3.250.000	
MARTIN & VICTORIA	Bo hr. Hansen	Frederikke Aspöck	Film Maker ApS	0	333.454	0	573.454	
MENNESKER BLIVER SPIST	Erik Clausen	Erik Claussen	Clausen Film ApS	0	0	6.000.000	6.350.000	
MIN SØSTERS BØRN OG GULDGRAVERNE	Lars Mering, Claudia Boderke	Niels Nørløv	Obel Film A/S	0	0	6.800.000	6.980.000	
NICOLAS OG ELVERDRONNINGEN	Jenny Lund Madsen, Philip Lazebnik, Uffe Rørbæk	Føren Frellesen	Deluca Film - LN1 Aps	0	100.000	0	100.000
