Titel	Manusforfatter	Instruktør	Producent	Konsulent	Manus 2014	Udvikling 2014	Produktion 2014	I alt - alle år	
ACROSS THE FIELDS	Daniel Joseph Borgman	Daniel Joseph Borgman	Adomeit Film ApS	KLE	195.000	200.000	0	395.000	
A PRIEST	Hlynur Pálmason	Hlynur Pálmason	Masterplan Pictures	KLE	170.000	0	0	220.000	
AMINAS BREVE	Anders Ølholm	Jacob Bitsch	SF Film Production ApS	STB	268.500	310.000	0	738.500	
BACKSTABBING FOR BEGINNERS	Daniel Pyne	Per Fly	Creative Alliance A.M.B.A	STB	0	300.000	6.500.000	7.150.000	
BALLON	Karina Dam	Lisa Ohlin	Asta Film ApS	STB	0	0	7.000.000 samt fra regional pulje 672.694	8.262.694	
BEDEMAND	Jannik Johansen	Jannik Johansen	Profile Pictures ApS	KLE	0	119.453	0	369.453	
CARMEN CURLERS	Mette Heeno	Kathrine Windfeld	Happy Ending Film ApS	STB	40.000	0	0	40.000	
DEN FALSKE MELODI	Mads Rosenkrantz Grage	Kasper Barfoed	Meta Film	STB	80.000	0	0	180.000	
DEN STORE KRIG	Jannik Tai Mosholt	Janus Metz	Meta Film Rights ApS	STB	80.000	0	0	80.000	
DET JEG IKKE FIK SAGT	Christian Lollike	Frederikke Aspöck	Nordisk Film Production A/S	STB	80.000	0	0	160.000	
DU FORSVINDER	Peter Schønau Fog	Peter Schønau Fog	Zentropa Entertainments10 ApS	KLE	80.000	375.000	0	725.000	
EMMA	Anders August, Mads Matthiesen	Mads Matthiesen	Zentropa Entertainments10 ApS	KLE	50.000	0	0	8.047.892	
EN SKILSMISSE	Lotte Svendsen	Lotte Svendsen	Radiator Film ApS	KLE	90.000	0	0	90.000	
FANG RUNG	Dunja Gry Jensen	Max Kestner	SF Film Production ApS	KLE	60.000	300.000	7.000.000	8.620.000	
FANTASTEN	Christian Dyekjær, Rasmus Horskjær	Christian Dyekjær	Fago Film IVS	KLE	130.000	0	0	370.000	
FORFØRERENS DAGBOG	Laurits Munch-Petersen	Laurits Munch-Petersen	Beofilm ApS	STB	80.000	0	0	240.000	
FREDERIKS UNGE ÅR	Christian Tafdrup, Johannes Lynge Larsen	Christian Tafdrup	Nordisk Film Production A/S	KLE	0	200.000	0	560.000	
FÆDRELAND	Andreas Garfield	May el-Toukhy	Film Maker ApS	STB	125.000	0	0	365.000	
GERTRUDE & CLAUDIUS	Nikolaj Scherfig	Bob Balaban	Papkassen ApS	STB	100.000	0	0	100.000	
GUD TALER UD	Bo hr. Hansen	Henrik Ruben Genz	Toolbox Film ApS	STB	120.000	0	0	220.000	
HAPPY PEOPLE	Peter Asmussen	Samanou Acheche Sahlstrøm	Meta Film Rights ApS	KLE	200.000	0	0	200.000	
HEMMELIGHEDER FRA EN RUSSISK BALSAL	Lone Scherfig	Lone Scherfig	Creative Alliance A.M.B.A	STB	0	300.000	0	300.000	
HERRE OG MESTER	Kim Fupz Aakeson	Birgitte Stærmose	Zentropa Entertainments11 ApS	STB	215.000	0	0	215.000	
HJERNEVASKER	Rune Schjøtt	Rune Schjøtt	Tra La La	KLE	80.000	0	0	280.000	
IN SEARCH OF A DISTANT VOICE	Samanou Acheche Sahlstrøm	Samanou Acheche Sahlstrøm	Nimbus Film	KLE	90.000	0	0	90.000	
I WALK WITH THE DEAD	Nicolas Winding Refn	Nicolas Winding Refn	Space Rocket Nation ApS	KLE	90.000	0	0	260.000	
KOLLEKTIVET	Thomas Vinterberg, Tobias Lindholm	Thomas Vinterberg	Zentropa Entertainments19 ApS	STB	0	350.000	7.000.000	7.664.014	
KRIGEN	Tobias Lindholm	Tobias Lindholm	Nordisk Film Production A/S	KLE	0	400.000	8.000.000	8.620.000	
LANG HISTORIE KORT	Maren Louise Käehne	May el-Toukhy	Miso Film ApS	STB	0	0	fra regional pulje 1.000.000	8.940.000	
LEA	Charlotte Sachs Bostrup	Charlotte Sachs Bostrup	Fago Film IVS	KLE	130.000	0	0	210.000	
LEIF I TRØJEN	Michael Wikke, Steen Rasmussen	Michael Wikke, Steen Rasmussen	Græsted Film & Fjernsyn ApS	KLE	100.000	0	0	200.000	
LEONORA CHRISTINA	Simon Pasternak	Pernille Fischer Christensen	Zentropa Productions2 ApS	KLE	150.000	0	0	200.000	
MESTEREN	Charlotte Sieling	Charlotte Sieling	Nimbus Film	KLE	90.000	0	0	574.377	
MULEUM	Annette K. Olesen, Erlend Loe	Annette K. Olesen	Annette K ApS	KLE	70.000	215.000	0	859.500	
MÆND & HØNS	Anders Thomas Jensen	Anders Thomas Jensen	M&M Productions A/S, M&M Mænd og Høns ApS	KLE	0	0	fra regional pulje 988.771	9.438.771	
MØDE KLOKKEN 17	Linda Wendel	Linda Wendel	Linda Wendel	STB	100.000	0	0	100.000	
NATSVÆRMERE	Jannik Tai Mosholt	Kaspar Munk	Profile Pictures ApS	KLE	125.000	0	0	125.000	
PELLE EROBREREN 2	Peter Birro	Per Fly	Meta Film	STB	80.000	350.000	0	730.000	
P.W.	Erlend Loe	Henrik Ruben Genz	Nimbus Film	KLE	0	0	8.000.000	8.390.000	
RØDE ORM	Tobias Lindholm	Hans Petter Moland	Zentropa Entertainments11 ApS	STB	155.000	0	0	155.000	
SANKT BERNHARD SYNDIKATET	Mads Rosenkrantz Grage	TBA	Meta Film	KLE	80.000	155.500	0	235.500	
SELVMORDSTURISTEN	Jonas Alexander Arnby, Rasmus Birch	Jonas Alexander Arnby, Rasmus Birch	Nimbus Film	KLE	100.000	0	0	220.000	
SE PÅ MIG	Marie Østerbye	Lars Kaalund	SF Film Production ApS	STB	125.000	0	0	205.000	
SOVEKAMMER	Kim Fupz Aakeson	Pernille Fischer Christensen	Zentropa Entertainments16 ApS	KLE	0	495.000	0	1.422.487	
SPARROWS	Runar Runarsson	Runar Runarsson	Nimbus Film	KLE	0	0	3.000.000	3.422.709	
SS MARTHA	Mette Heeno	Michael Hegner, Philip Einstein Lipski	Einstein Film ApS	STB	235.000	0	0	395.000	
THE BEGGING HAND	Rasmus Birch	Katrin Gebbe	Nimbus Film	STB	80.000	0	0	180.000	
THE LAST JOURNEY OF MONSIEUR PICHON	Anders Thomas Jensen, Søren Kragh-Jacobsen	Søren Kragh-Jacobsen	Nimbus Film	STB	0	150.000	0	560.000	
THE NEON DEMON	Nicolas Winding Refn	Nicolas Winding Refn	IWWTD ApS	KLE	0	0	7.240.000	7.500.000	
THIT	Karina Dam, Lars K. Andersen	Heidi Maria Faisst	Kilde Film	KLE	130.000	0	0	350.000	
TORDENSKIOLD	Erlend Loe	Henrik Ruben Genz	Nimbus Film	KLE	0	0	1.000.000	9.390.000	
TOURETTES	Erlend Loe, Heidi Maria Faisst	Simon Alsvik	Meta Film	KLE	60.000	0	0	60.000	
UNDER SANDET	Martin P. Zandvliet	Martin P. Zandvliet	Nordisk Film Production A/S	STB	0	0	6.570.000 samt 1.000.000 fra regional pulje	8.325.000	
UNDTAGELSEN	Christoffer Boe, Simon Pasternak	Heidi Maria Faisst	Fridthjof Film A/S	STB	125.000	0	0	125.000	
VEJEN HJEM	Kræsten Kusk	Kræsten Kusk	SF Film Production ApS	KLE	90.000	0	0	90.000	
VERDENSMESTEREN	Christoffer Örnfelt, Joachim Nielsen	Søren Balle	Film Maker ApS	STB	80.000	0	0	80.000	
WE WATCHED THE SUN DISAPPEAR	Michael Kinirons	Jonas Alexander Arnby	Profile Pictures ApS	STB	120.000	0	0	120.000	
