Titel	Manusforfatter	Instruktør	Producent	Konsulent	Manus 2016	Udvikling 2016	Produktion 2016	I alt - alle år	
FREUCHEN	Nils Normann	Lasse Spang Olsen	LSO Production	MMF	80.000	0	0	80.000	
FÆDRELAND	Andreas Garfield	May El-Toukhy	Film Maker ApS	HAP	125.000	0	0	815.000	
GENGÆLDELSENS VEJE	Jenny Lund Madsen, Michael W. Horsten	Birger Larsen	Zentropa Entertainments3 ApS	HAP	100.000	170.000	0	440.000	
GUD TALER UD	Bo hr. Hansen	Henrik Ruben Genz	Toolbox Film ApS	MMF	0	0	6.000.000 samt regional 2.137.928	8.637.928	
GÆLDEN	Nagieb Khaja	Omar Shargawi	Toolbox Film ApS	MOG	80.000	0	0	80.000	
HAPPY PEOPLE	Samanou Acheche Sahlstrøm	Samanou Acheche Sahlstrøm	Meta Film Rights ApS	HAP	0	0	7.000.000	 7.600.000
HVOR SOLEN GRÆDER	Kasper Barfoed	Kasper Barfoed	Schønne Film IVS	HAP	220.000	0	0	220.000	
JUVENILE	Mads Matthiesen	Mads Matthiesen	Zentropa Entertainments3 ApS	MOG	100.000	0	0	100.000	
KNALD ELLER FALD	Karin Norrinder, Nynne Oldenburg	Frederikke Aspöck	Fago Film IVS	HAP	100.000	0	0	100.000	
KONGERNE AF VESTERBRO	Lars K. Andersen, Søren Sveistrup		SAM Productions ApS	MMF	120.000	0	0	240.000	
KÆRLIGHEDENS REGLER	Andreas Garfield	Jeppe Rønde	Jakob Kirstein Høgel	MMF	200.000	0	0	200.000	
KÆRLIGHEDSBARN	Joachim Nielsen	Michael Asmussen	Michael Asmussen	MOG	80.000	0	0	80.000	
KØTER	Jesper Bernt	Jesper Bernt	ASMO ApS	MOG	100.000	0	0	300.000	
LANDSFORRÆDEREN	Christina Rosendahl	Christina Rosendahl	Nimbus Film	MMF	140.000	0	0	140.000	
LEJREN	Steen Bille	Georg Larsen	Toolbox Film ApS	MMF	100.000	0	0	100.000	
LOUIS LIV	Johanne Algren		Fago Film IVS	MMF	80.000	0	0	140.000	
MADKLUBBEN	Anne-Marie Olesen	Barbara Rothenborg	Nepenthe Film ApS	MMF	90.000	0	0	90.000	
NATASJA	Dunja Gry Jensen, Tommy Bredsted	Peter Anthony	Nimbus Film	MMF	80.000	0	0	80.000	
NATSVÆRMERE	Jannik Tai Mosholt	Kaspar Munk	Profile Pictures ApS	MMF	80.000	0	0	485.000	
NELLY	Jesper Fink, Michael Noer	Michael Noer	Nordisk Film Production A/S	MMF	100.000	289.823	0	509.823	
NOK!	Kim Fupz Aakeson	Christoffer Boe	Creative Alliance A.M.B.A	MMF	125.000	150.000	0	315.000	
ODYSSEY	Michael Madsen	Michael Madsen	Massproduction	MMF	0	450.000	0	450.000	
ORTHONS HELTE	Rasmus Horskjær	Ask Hasselbalch	Snowglobe ApS	MMF	60.000	0	0	60.000	
PARASITTERNE	Magnus von Horn	Milad Alami	Creative Alliance A.M.B.A	MMF	80.000	0	0	130.000	
ROBIN	Antonio Tublén	Antonio Tublén	Ping Pong Film	MMF	0	75.000	3.600.000	3.755.000
ROSE	Niels Arden Oplev	Niels Arden Oplev	Nordisk Film Production A/S	HAP	115.000	0	0	215.000	
SANKT BERNHARD SYNDIKATET	Lærke Sanderhoff	Mads Brügger 	Meta Film Rights ApS	HAP	0	0	3.586.600	3.971.366
SECRETS FROM THE RUSSIAN TEA ROOM	Lone Scherfig	Lone Scherfig	Creative Alliance A.M.B.A	HAP	0	0	6.500.000	7.100.000
SELVMORDSTURISTEN	Jonas Alexander Arnby, Rasmus Birch	Jonas Alexander Arnby, Rasmus Birch	Snowglobe ApS	MMF	70.000	0	0	390.000	
SEVEN LIVES	Jesper Bernt, Rune Hørslev		Juniorjr	MMF	120.000	0	0	120.000	
SEXKOMMANDOEN	Jannik Johansen	Jannik Johansen	Profile Pictures ApS	MMF	100.000	300.000	0	500.000	
SHORTA	Anders Ølholm, Frederik Louis Hviid	Anders Ølholm, Frederik Louis Hviid	Toolbox Film ApS	HAP	160.000	0	0	160.000	
SKILT	Christoffer Boe, Tobias Lindholm	Christoffer Boe	Zentropa Entertainments3 ApS	HAP	100.000	0	0	320.000	
SWINGER	Mikkel Munch-Fals	Charlotte Sachs Bostrup, Mikkel Munch-Fals	Meta Film	LHV	0	0	1.965.000	2.110.000
SØVNLØS	Jesper Nicolaj Christiansen	Jesper Nicolaj Christiansen	CEC Film	MMF	100.000	0	0	100.000	
THE END	Joshua Oppenheimer	Joshua Oppenheimer	Final Cut for Real ApS	MMF	0	325.000	0	325.000	
THE HITMAN'S GUIDE	Anders August	Christoffer Boe	Miso Film ApS	HAP	120.000	0	0	120.000	
THE HOLY SPIDER	Ali Abassi	Ali Abassi	Profile Pictures ApS	MMF	60.000	0	0	60.000	
THE HOUSE THAT JACK BUILT	Lars von Trier	Lars von Trier	Zentropa Entertainments3 ApS	MMF	0	800.000	9.000.000	 9.800.000
TOVE	Trine Piil		Profile Pictures ApS	MOG	100.000	0	0	100.000	
UNDTAGELSEN	Christoffer Boe, Simon Pasternak	Heidi Marie Faisst	Fridthjof Film A/S	MMF	100.000	0	0	350.000	
VIFTEN	Anna Neye			MMF	180.000	0	0	215.000	
VILDNIS	Anna Ingeborg Topsøe	Jeanette Nordahl	Snowglobe ApS	MMF	80.000	0	0	80.000	
VILLE	Jens Dahl	Jens Dahl	Profile Pictures ApS	MOG	100.000	0	0	100.000	
WE WATCHED THE SUN DISAPPEAR	Michael Kinirons	Jonas Alexander Arnby	Profile Pictures ApS	HAP	80.000	93.500	0	633.500
