Titel	Manusforfatter	Instruktør	Producent	Konsulent	Manus 2016	Udvikling 2016	Produktion 2016	I alt - alle år	
6 DAGE I ENSOMHEDENS TJENESTE	Jon Bang Carlsen	Jon Bang Carlsen	C&C Productions ApS	MMF	100.000	0	0	100.000	
1000 R.I.P.	Daniel Dencik, Sara Isabella Jønsson	Daniel Dencik	Haslund / Dencik Entertainment ApS	HAP / MOG	305.000	320.000	0	962.000	
A PRIEST	Hlynur Pálmason	Hlynur Pálmason	Masterplan Pictures ApS	HAP	125.000	0	0	495.000	
ADOPTION	Dagur Kári	Dagur Kári	Creative Alliance A.M.B.A.	HAP	160.000	0	0	160.000	
AMERIKA	Anders Thomas Jensen, Kristian Levring	Kristian Levring	Zentropa Entertainments3 ApS	HAP / MOG	200.000	0	0	300.000	
ASSISI	Jonas Wagner			MMF	100.000	0	0	100.000	
BAD DESIRE	Sissel Dalsgaard Thomsen	Jens Dahl	Beofilm ApS	MMF	80.000	0	0	80.000	
BOMBEMANDEN	Andreas Garfield	Mads Kamp Thulstrup	JOFI Film	MOG	100.000	0	0	100.000	
BORGERKRIGEN	Jannik Tai Mosholt	Janus Metz	Meta Film Rights ApS	MMF	70.000	0	0	290.000	
COX ORANGE	Kim Fupz Aakeson	Pernille Fischer Christensen	Zentropa Entertainments3 ApS	MMF	100.000	0	0	180.000	
CRASHER	Iben Gylling, Laurits Munch-Petersen	Laurits Munch-Petersen	Laurits Munch-Petersen	MOG	100.000	0	0	100.000	
DE FRIVILLIGE	Lars Husum	Frederikke Aspöck	SF Film Production ApS	MMF	0	250.000	0	340.000	
DEN DANSKE RACEKRIG	Christian Lollike	Simon Staho	Masterplan Pictures ApS	MMF	120.000	400.000	0	520.000	
DEN MORSOMME NABO	Amir Rezazadeh, Anton Carey Bidstrup		Amir Rezazadeh	MOG	100.000	0	0	100.000	
DRENGEN DER HUSKEDE	Nikolaj Feifer	Nikolaj Feifer	Zentropa Entertainments3 ApS	HAP	50.000	0	0	130.000	
DRONNINGEN	Maren Louise Käehne, May el-Toukhy	May el-Toukhy	Nordisk Film Production A/S	MOG	100.000	0	0	100.000	
EN FILM AF VERNER HOLM	Jannik Johansen	Jannik Johansen	Profile Pictures ApS	MMF	0	0	7.000.000	7.500.000
FANTASTEN	Christian Dyekjær, Rasmus Horskjær	Christian Dyekjær	Fago Film IVS	MMF	50.000	350.000	3.600.000	4.450.000
FAR HAR DET DÅRLIGT	Thomas Daneskov	Thomas Daneskov	Nordisk Film Production A/S	MMF	100.000	0	0	100.000	
FIRE MÆND	Lars K. Andersen	Ole Christian Madsen	Creative Alliance A.M.B.A	HAP	125.000	0	0	165.000	
